block,sid,trial,sample_stim,isi_condition,rule_type,A_stim,B_stim,A_prime,B_prime,rule_sequence,test_sequence,correct_next_stim,slot_mapping,correct_stim,response_key,response_slot,response_stim,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_sample,t_delay,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_response
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,0,circle,1.0,,,,,,,,,"star,triangle,rectangle,circle",circle,4,4,circle,1,0.5481018999707885,,,,,,,6.396456899994519,6.905130100029055,7.412062900024466,,,,,,8.42898960004095
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,1,star,1.0,,,,,,,,,"star,circle,triangle,rectangle",star,1,1,star,1,0.46309169998858124,,,,,,,8.980254900001455,9.484905900026206,9.991169499990065,,,,,,11.001416900020558
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,2,star,1.0,,,,,,,,,"triangle,star,circle,rectangle",star,2,2,star,1,0.4777425000211224,,,,,,,11.49280569999246,12.000059300044086,12.506030399992596,,,,,,13.519293999997899
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,3,triangle,1.0,,,,,,,,,"star,circle,rectangle,triangle",triangle,4,4,triangle,1,0.4768591999891214,,,,,,,14.00037920003524,14.505705300020054,15.012428399990313,,,,,,16.0216078000376
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,4,star,1.0,,,,,,,,,"star,rectangle,circle,triangle",star,1,1,star,1,0.419150699977763,,,,,,,16.501942400005646,17.008477700001094,17.516295900044497,,,,,,18.526972500025295
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,5,triangle,1.0,,,,,,,,,"circle,triangle,rectangle,star",triangle,2,2,triangle,1,0.5109460999956354,,,,,,,18.949409699998796,19.455709200003184,19.96427810000023,,,,,,20.973594000039157
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,6,rectangle,1.0,,,,,,,,,"star,circle,rectangle,triangle",rectangle,,,,0,,,,,,,,21.48817800002871,21.993957400030922,22.499860700045247,,,,,,23.508289400022477
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,7,circle,2.5,,,,,,,,,"circle,triangle,star,rectangle",circle,1,1,circle,1,0.5067484999890439,,,,,,,25.512246700003743,26.017441800038796,26.522630400024354,,,,,,29.035685800015926
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,8,rectangle,1.0,,,,,,,,,"triangle,star,circle,rectangle",rectangle,4,4,rectangle,1,0.5728269999963231,,,,,,,29.545884200022556,30.05190640001092,30.55766799999401,,,,,,31.566815000027418
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,9,circle,1.0,,,,,,,,,"circle,rectangle,star,triangle",circle,1,1,circle,1,0.499528200016357,,,,,,,32.1441305000335,32.649447300005704,33.15560400002869,,,,,,34.16479240002809
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,10,circle,1.0,,,,,,,,,"rectangle,triangle,circle,star",circle,3,3,circle,1,0.45053610001923516,,,,,,,34.66762890003156,35.172805300040636,35.67908999999054,,,,,,36.685294300026726
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,11,star,2.5,,,,,,,,,"star,triangle,rectangle,circle",star,1,1,star,1,0.573915200016927,,,,,,,37.13920520001557,37.64569080004003,38.150651500036474,,,,,,40.659235100029036
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,12,circle,2.5,,,,,,,,,"triangle,circle,star,rectangle",circle,,,,0,,,,,,,,41.23624320002273,41.739860900037456,42.243962200009264,,,,,,44.75313860003371
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,13,rectangle,2.5,,,,,,,,,"rectangle,circle,star,triangle",rectangle,,,,0,,,,,,,,46.75636400002986,47.26396840001689,47.767851900018286,,,,,,50.276926500024274
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,14,rectangle,1.0,,,,,,,,,"circle,star,rectangle,triangle",rectangle,,,,0,,,,,,,,52.280103700002655,52.784435800043866,53.28936930000782,,,,,,54.30189810000593
WM,c78c8ff0-6dc5-40b6-bbdc-d03e2c14a016,15,triangle,2.5,,,,,,,,,"circle,triangle,rectangle,star",triangle,,,,0,,,,,,,,56.30480800004443,56.80976910004392,57.314481600013096,,,,,,59.82613290002337
