block,sid,trial,sample_stim,isi_condition,rule_type,A_stim,B_stim,A_prime,B_prime,rule_sequence,test_sequence,correct_next_stim,slot_mapping,correct_stim,response_key,response_slot,response_stim,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_sample,t_delay,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_response
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,0,triangle,1.0,,,,,,,,,"star,rectangle,circle,triangle",triangle,4,4,triangle,1,0.5499063000002025,,,,,,,60.573275100000046,61.09377399999994,61.60915759999989,,,,,,62.64227840000012
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,1,circle,2.5,,,,,,,,,"rectangle,circle,triangle,star",circle,2,2,circle,1,0.5491339999998672,,,,,,,63.20868220000011,63.725666300000285,64.24295690000008,,,,,,66.75958919999994
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,2,circle,2.5,,,,,,,,,"triangle,star,circle,rectangle",circle,3,3,circle,1,0.6678340000003118,,,,,,,67.34160139999994,67.85879389999991,68.37595599999986,,,,,,70.8928135000001
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,3,rectangle,1.0,,,,,,,,,"star,circle,triangle,rectangle",rectangle,4,4,rectangle,1,0.5275495000000774,,,,,,,71.57339460000003,72.09266209999987,72.60905180000009,,,,,,73.62591389999989
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,4,triangle,1.0,,,,,,,,,"circle,triangle,rectangle,star",triangle,2,2,triangle,1,0.45433939999975337,,,,,,,74.17430710000008,74.69319270000005,75.20877870000004,,,,,,76.24227350000001
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,5,triangle,2.5,,,,,,,,,"triangle,rectangle,circle,star",triangle,1,1,triangle,1,0.6475132999999005,,,,,,,76.7068675999999,77.2248927999999,77.74248179999995,,,,,,80.25928680000015
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,6,rectangle,2.5,,,,,,,,,"star,rectangle,triangle,circle",rectangle,2,2,rectangle,1,0.5398054000002048,,,,,,,80.92498220000016,81.44152710000026,81.95905960000027,,,,,,84.4755312000002
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,7,rectangle,1.0,,,,,,,,,"star,triangle,circle,rectangle",rectangle,4,4,rectangle,1,0.5378767000001972,,,,,,,85.0236946,85.54255039999998,86.05962439999985,,,,,,87.09284900000011
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,8,triangle,2.5,,,,,,,,,"star,triangle,circle,rectangle",triangle,2,2,triangle,1,0.5358581000000413,,,,,,,87.64017550000017,88.15898190000007,88.67762489999996,,,,,,91.19085540000015
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,9,circle,1.0,,,,,,,,,"rectangle,star,triangle,circle",circle,4,4,circle,1,0.5914044000001013,,,,,,,91.74053030000005,92.25857730000007,92.77680420000024,,,,,,93.79290700000001
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,10,rectangle,2.5,,,,,,,,,"triangle,rectangle,circle,star",rectangle,2,2,rectangle,1,0.6876406999999745,,,,,,,94.39051100000006,94.90877369999998,95.4257963,,,,,,97.94295580000016
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,11,star,1.0,,,,,,,,,"triangle,star,rectangle,circle",star,2,2,star,1,0.498491699999704,,,,,,,98.63984600000003,99.15884899999992,99.67583060000015,,,,,,100.7103059000001
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,12,circle,1.0,,,,,,,,,"triangle,circle,star,rectangle",circle,2,2,circle,1,0.6871044000004076,,,,,,,101.22459870000012,101.7425745999999,102.25912900000003,,,,,,103.29318719999992
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,13,circle,1.0,,,,,,,,,"circle,triangle,rectangle,star",circle,1,1,circle,1,0.6466851000000133,,,,,,,103.99057600000015,104.5095411000002,105.02663570000004,,,,,,106.0589557000003
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,14,star,2.5,,,,,,,,,"star,triangle,rectangle,circle",star,1,1,star,1,0.6612531000000672,,,,,,,106.72330640000018,107.24229710000009,107.75887349999994,,,,,,110.27596519999997
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,15,circle,2.5,,,,,,,,,"rectangle,circle,star,triangle",circle,2,2,circle,1,0.5470288000001347,,,,,,,110.95889780000016,111.47601870000017,111.99251929999991,,,,,,114.50901410000006
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,16,star,1.0,,,,,,,,,"star,rectangle,circle,triangle",star,1,1,star,1,0.6350840999998582,,,,,,,115.07503640000004,115.59207349999997,116.10899700000027,,,,,,117.12503520000018
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,17,triangle,1.0,,,,,,,,,"circle,star,triangle,rectangle",triangle,3,3,triangle,1,0.6861865999999281,,,,,,,117.77401910000026,118.29251320000003,118.80815630000006,,,,,,119.82669990000022
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,18,star,2.5,,,,,,,,,"circle,star,rectangle,triangle",star,2,2,star,1,0.49480329999960304,,,,,,,120.52455869999994,121.04244349999999,121.55926829999999,,,,,,124.07513460000018
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,19,triangle,2.5,,,,,,,,,"rectangle,star,triangle,circle",triangle,3,3,triangle,1,0.5810132999999951,,,,,,,124.59132480000017,125.10870260000002,125.62689610000007,,,,,,128.14160540000012
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,20,star,1.0,,,,,,,,,"rectangle,star,triangle,circle",star,2,2,star,1,0.4992824999999357,,,,,,,128.74116080000022,129.25903030000018,129.7766558000003,,,,,,130.79015160000017
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,21,star,2.5,,,,,,,,,"circle,star,rectangle,triangle",star,2,2,star,1,0.4981494999997267,,,,,,,131.3077733,131.82549319999998,132.34173869999995,,,,,,134.85955379999996
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,22,rectangle,2.5,,,,,,,,,"star,circle,triangle,rectangle",rectangle,4,4,rectangle,1,0.6211992999997165,,,,,,,135.37471640000012,135.89263519999986,136.40968220000013,,,,,,138.92520670000022
WM,cc2bdacf-6fe4-4e56-9630-a6ab21438244,23,rectangle,1.0,,,,,,,,,"rectangle,star,triangle,circle",rectangle,1,1,rectangle,1,0.5778240999998161,,,,,,,139.55697390000023,140.07496979999996,140.5933358000002,,,,,,141.6094492000002
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,0,,,ABA,circle,triangle,triangle,circle,"circle,triangle,circle","triangle,circle",triangle,"circle,star,rectangle,triangle",triangle,4,4,triangle,1,0.5826552999997148,0.7913091721554315,1.181027881262558,0.6480009918679849,0.9580111509631696,0.9152065380076118,3.4341091915728175,144.59157189999996,,,145.10974450000003,146.44299320000027,148.15921449999996,149.3428939999999,150.84292080000023,152.30919219999987
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,1,,,ABA,rectangle,circle,rectangle,circle,"rectangle,circle,rectangle","rectangle,circle",rectangle,"star,circle,rectangle,triangle",rectangle,3,3,rectangle,1,0.6815370000003895,1.2601408015019062,1.247280977769292,0.7968735640961943,0.9357581792299623,1.1043360370461694,2.662945897829178,156.41297429999986,,,156.9261962999999,158.7262254000002,160.51013980000016,161.8399099000003,163.30751400000008,164.95845180000015
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,2,,,ABB,rectangle,star,star,rectangle,"rectangle,star,star","star,rectangle",rectangle,"star,rectangle,circle,triangle",rectangle,2,2,rectangle,1,1.7471111999998357,0.806045777359812,1.1577767515194197,0.9082407200210587,1.1755491977970294,1.4664191772821378,3.0645651923345585,168.3424497000001,,,168.85933400000022,170.20933090000017,171.90925240000024,173.34205509999993,175.05968940000002,177.05854959999988
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,3,,,ABB,circle,triangle,triangle,circle,"circle,triangle,triangle","triangle,circle",circle,"star,circle,triangle,rectangle",circle,2,2,circle,1,0.6539886000000479,1.2137951947119852,1.2376744868886542,1.3855411706864613,1.3036750171724174,1.1249258831690174,2.7526186944774262,181.90907180000022,,,182.42568089999986,184.1763922,185.94261000000006,187.8752927999999,189.70941029999994,191.37629849999985
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,4,,,ABA,rectangle,triangle,star,triangle,"rectangle,triangle,rectangle","star,triangle",star,"circle,rectangle,star,triangle",star,3,3,star,1,0.65384129999984,1.0332465191918467,1.1861441998183737,1.1543960082021512,1.2335314835904865,1.251714706227495,1.4823938430906116,194.80696080000007,,,195.32357009999987,196.89019800000005,198.6079024999999,200.29297760000009,202.0599161,203.8597906
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,5,,,ABB,triangle,circle,circle,rectangle,"triangle,circle,circle","circle,rectangle",rectangle,"circle,rectangle,triangle,star",rectangle,2,2,rectangle,1,0.571083599999838,1.0090758770616266,1.1694589936873243,1.0582657670345248,0.9612134311350866,0.8600846559797631,2.6799368298510675,206.0239687000003,,,206.5426150000003,208.09514089999993,209.79319680000026,211.3931802000002,212.89400299999988,214.2927337000001
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,6,,,ABB,star,triangle,triangle,rectangle,"star,triangle,triangle","triangle,rectangle",rectangle,"star,circle,rectangle,triangle",rectangle,3,3,rectangle,1,0.6154935999998088,1.0288944149708277,1.077501968144687,0.8335856792115773,1.2797747005793145,1.1460489406974654,4.392187118450755,217.5767533000003,,,218.09326499999997,219.65844659999993,221.27645650000022,222.64291820000017,224.4586763000002,226.14322330000005
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,7,,,ABA,rectangle,star,rectangle,star,"rectangle,star,rectangle","rectangle,star",rectangle,"circle,rectangle,triangle,star",rectangle,2,2,rectangle,1,0.6215007000000696,1.0667554730747157,1.0287236310808776,0.49150951599025183,1.0084902501873696,1.1391633968017552,3.439754949662464,231.19363269999985,,,231.70900149999989,233.30733210000017,234.8737390000001,235.89015150000023,237.4401410999999,239.1243674000002
main_run1,cc2bdacf-6fe4-4e56-9630-a6ab21438244,8,,,ABA,triangle,circle,circle,star,"triangle,circle,triangle","circle,star",circle,"triangle,rectangle,circle,star",circle,3,3,circle,1,0.6626251000002412,1.0877728393233566,1.1910354434272243,1.1053550273848602,1.303307397078135,1.008977136811532,1.8881022707317336,243.20863420000023,,,243.72604820000015,245.3449544,247.0566948999999,248.69223300000021,250.52640550000024,252.0749983999999
