block,sid,trial,sample_stim,isi_condition,rule_type,A_stim,B_stim,A_prime,B_prime,rule_sequence,test_sequence,correct_next_stim,slot_mapping,correct_stim,response_key,response_slot,response_stim,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_sample,t_delay,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_response
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,0,triangle,1.0,,,,,,,,,"star,rectangle,circle,triangle",triangle,4,4,triangle,1,0.520587500000147,,,,,,,120.54444180000064,121.06436790000043,121.57931800000006,,,,,,122.61270420000073
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,1,star,2.5,,,,,,,,,"circle,rectangle,triangle,star",star,4,4,star,1,0.5233678000004147,,,,,,,123.14350100000047,123.66263960000015,124.17862950000017,,,,,,126.71344110000064
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,2,rectangle,1.0,,,,,,,,,"circle,triangle,star,rectangle",rectangle,4,4,rectangle,1,0.6756203000004462,,,,,,,127.26246790000005,127.77926730000036,128.29615450000074,,,,,,129.31217900000047
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,3,rectangle,2.5,,,,,,,,,"star,rectangle,circle,triangle",rectangle,2,2,rectangle,1,0.8409582000003866,,,,,,,129.99311120000038,130.51244360000055,131.02909180000006,,,,,,133.5458118000006
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,4,circle,2.5,,,,,,,,,"star,circle,triangle,rectangle",circle,2,2,circle,1,0.599739899999804,,,,,,,134.3929794000005,134.91350620000048,135.42919789999996,,,,,,137.94569070000034
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,5,star,2.5,,,,,,,,,"triangle,rectangle,star,circle",star,3,3,star,1,0.7497622999999294,,,,,,,138.56289330000072,139.07920009999998,139.59739360000003,,,,,,142.12954940000054
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,6,circle,1.0,,,,,,,,,"star,rectangle,triangle,circle",circle,4,4,circle,1,0.5292877000001681,,,,,,,142.8940345000001,143.41219320000073,143.9291174,,,,,,144.94608870000047
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,7,circle,1.0,,,,,,,,,"star,circle,rectangle,triangle",circle,2,2,circle,1,0.6126627000003282,,,,,,,145.49561900000026,146.0123990000002,146.53035090000049,,,,,,147.5630157000005
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,8,rectangle,2.5,,,,,,,,,"triangle,star,circle,rectangle",rectangle,4,4,rectangle,1,0.5588438999993741,,,,,,,148.19449780000014,148.7123489000005,149.2290141000003,,,,,,151.74646340000072
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,9,circle,1.0,,,,,,,,,"triangle,rectangle,circle,star",circle,3,3,circle,1,0.7022581999999602,,,,,,,152.3105168000002,152.8280203000004,153.34564000000046,,,,,,154.3629535
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,10,rectangle,1.0,,,,,,,,,"rectangle,circle,triangle,star",rectangle,1,1,rectangle,1,0.6609978999995292,,,,,,,155.07702380000046,155.5948711000001,156.11243790000026,,,,,,157.12939800000004
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,11,triangle,2.5,,,,,,,,,"circle,rectangle,star,triangle",triangle,4,4,triangle,1,0.5429713000003176,,,,,,,157.8101041,158.33058729999993,158.84615550000035,,,,,,161.3627288000007
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,12,rectangle,2.5,,,,,,,,,"star,circle,rectangle,triangle",rectangle,3,3,rectangle,1,0.6247678999998243,,,,,,,161.92889920000016,162.4461326999999,162.96208110000043,,,,,,165.49606810000023
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,13,circle,2.5,,,,,,,,,"triangle,circle,rectangle,star",circle,2,2,circle,1,0.6824926999997842,,,,,,,166.12703500000043,166.6432343000006,167.1622313000007,,,,,,169.69634249999945
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,14,star,1.0,,,,,,,,,"rectangle,circle,triangle,star",star,4,4,star,1,0.5537953000002744,,,,,,,170.3945713000012,170.9122238,171.42907250000098,,,,,,172.44641820000106
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,15,star,2.5,,,,,,,,,"rectangle,triangle,circle,star",star,4,4,star,1,0.4802739999995538,,,,,,,173.01050720000057,173.52898430000096,174.04537359999995,,,,,,176.5799145000001
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,16,triangle,1.0,,,,,,,,,"star,circle,rectangle,triangle",triangle,4,4,triangle,1,0.5359064999993279,,,,,,,177.07787980000103,177.59611609999956,178.11303510000107,,,,,,179.14628020000055
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,17,triangle,1.0,,,,,,,,,"triangle,circle,star,rectangle",triangle,1,1,triangle,1,0.6799116000001959,,,,,,,179.69391170000017,180.21205010000085,180.72934209999949,,,,,,181.76326110000082
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,18,triangle,2.5,,,,,,,,,"star,triangle,rectangle,circle",triangle,2,2,triangle,1,0.6407335000003513,,,,,,,182.46067460000086,182.97904390000076,183.49600640000062,,,,,,186.01287670000056
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,19,circle,2.5,,,,,,,,,"triangle,star,circle,rectangle",circle,3,3,circle,1,0.5605393999994703,,,,,,,186.65985,187.17937090000123,187.69639280000047,,,,,,190.21319640000002
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,20,rectangle,1.0,,,,,,,,,"rectangle,circle,star,triangle",rectangle,1,1,rectangle,1,0.5675817999999708,,,,,,,190.7945079000001,191.31227860000035,191.8297051999998,,,,,,192.8661731000011
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,21,star,1.0,,,,,,,,,"circle,star,triangle,rectangle",star,2,2,star,1,0.56275099999948,,,,,,,193.44399890000022,193.9624504000003,194.4793449000008,,,,,,195.51649030000044
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,22,star,1.0,,,,,,,,,"circle,triangle,rectangle,star",star,4,4,star,1,0.4970706000003702,,,,,,,196.09398180000062,196.61262689999967,197.12900190000073,,,,,,198.14564950000022
WM,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,23,triangle,2.5,,,,,,,,,"star,circle,triangle,rectangle",triangle,3,3,triangle,1,0.5248510000001261,,,,,,,198.66145959999994,199.17835039999954,199.69497600000068,,,,,,202.2132916999999
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,0,,,ABA,rectangle,star,star,triangle,"rectangle,star,rectangle","star,triangle",star,"circle,triangle,star,rectangle",star,3,3,star,1,0.5940054000002419,1.1821860960452628,1.0221817083635025,1.1598708521331067,0.7130749884031391,0.807818586391602,4.146133787251792,208.54390729999977,,,209.0628957000008,210.77941350000037,212.32958080000026,214.0297902000002,215.27987969999958,216.6298755000007
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,1,,,ABB,circle,rectangle,circle,triangle,"circle,rectangle,rectangle","circle,triangle",triangle,"rectangle,circle,star,triangle",triangle,4,4,triangle,1,0.4192767000004096,1.0493931317759317,0.8764303154771631,1.0929615541520006,0.7490179440228022,0.9063666804402203,4.619036952085996,221.413289600001,,,221.92971190000026,223.5098921000008,224.9294174000006,226.56263220000073,227.8458038000008,229.29689420000068
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,2,,,ABB,triangle,rectangle,star,circle,"triangle,rectangle,rectangle","star,circle",circle,"star,triangle,circle,rectangle",circle,3,3,circle,1,0.5786255000002711,0.9590639557087072,1.0575114287481717,0.9852304805335977,0.7732396878540415,1.4483334020187737,3.9429098523451795,234.36359980000088,,,234.87982940000074,236.37965310000072,237.97900830000071,239.49649020000106,240.79653420000068,242.78057500000068
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,3,,,ABA,star,rectangle,star,rectangle,"star,rectangle,star","star,rectangle",star,"circle,rectangle,star,triangle",star,3,3,star,1,0.678740100000141,0.7718120308237111,1.1543686762587617,0.6894164815166339,0.9630676004147204,0.640002816993217,2.1115900836240042,247.34628520000115,,,247.87914939999973,249.1799284000008,250.87975709999955,252.11369449999984,253.61276829999952,254.79654540000047
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,4,,,ABB,rectangle,circle,star,circle,"rectangle,circle,circle","star,circle",circle,"rectangle,triangle,circle,star",circle,3,3,circle,1,0.5335899000001518,0.9549785314372429,1.2843734127018243,0.8114802028499238,0.6101501477883216,1.2226095866596605,1.9745118663503591,257.6299130999996,,,258.1459842000004,259.6465676000007,261.4637971000011,262.8128764000012,263.96320730000116,265.73058140000103
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,5,,,ABA,triangle,rectangle,circle,star,"triangle,rectangle,triangle","circle,star",circle,"star,circle,rectangle,triangle",circle,2,2,circle,1,0.6394703999994817,0.7001347902396294,0.8792097215222383,0.8742327916907213,0.7838566942056393,0.6540723581834604,2.8668399660955406,268.27902750000067,,,268.7951587999996,270.0300033000003,271.44609239999954,272.86330799999996,274.17986870000095,275.3803069000005
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,6,,,ABA,rectangle,star,circle,rectangle,"rectangle,star,rectangle","circle,rectangle",circle,"circle,triangle,rectangle,star",circle,1,1,circle,1,0.5955352999990282,1.0800760087021652,1.1512133920066803,1.333081128404353,1.0665930627093103,1.0809717714300096,1.9938402223954272,278.91038990000015,,,279.4297598000012,281.0465992999998,282.72914260000107,284.59405920000063,286.1969538000012,287.8134508000003
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,7,,,ABA,star,rectangle,star,circle,"star,rectangle,star","star,circle",star,"triangle,star,rectangle,circle",star,2,2,star,1,0.6818607999994128,1.0212343191528055,0.9067456509474512,1.015936007514275,1.007040255008219,1.1120642088519765,3.524680574355988,290.4460852000011,,,290.96309140000085,292.5308683000003,293.9798690000007,295.53045399999974,297.06360270000005,298.71298299999944
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,8,,,ABB,star,triangle,star,triangle,"star,triangle,triangle","star,triangle",triangle,"star,rectangle,triangle,circle",triangle,3,3,triangle,1,0.5882772999993904,1.1137080918366384,1.0490407666973665,1.1711223350546058,1.1007462741858507,1.0172819712644356,3.6501324638442285,302.9457942000008,,,303.46353350000027,305.1132914000009,306.6970022000005,308.3967627000002,310.0296438999994,311.59644090000074
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,9,,,ABB,circle,triangle,star,rectangle,"circle,triangle,triangle","star,rectangle",rectangle,"star,circle,rectangle,triangle",rectangle,3,3,rectangle,1,0.6122785999996267,1.0034498160409022,1.154675367806197,1.1921628578169523,1.0232085360791567,1.4906741088118425,2.7626934658998334,315.87904040000103,,,316.398607000001,317.92959429999974,319.62993370000004,321.36264029999984,322.93044010000085,324.9635474000006
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,10,,,ABB,circle,triangle,triangle,circle,"circle,triangle,triangle","triangle,circle",circle,"rectangle,circle,star,triangle",circle,2,2,circle,1,0.7762347999996564,0.8611947273127323,0.5994521592657154,0.9059988668679381,1.3892468216798506,0.8807740478786313,1.331752953001607,328.37882100000024,,,328.89643389999947,330.29732839999997,331.43012610000005,332.879665800001,334.79627919999984,336.2133627000003
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,11,,,ABA,star,circle,triangle,rectangle,"star,circle,star","triangle,rectangle",triangle,"star,triangle,circle,rectangle",triangle,2,2,triangle,1,0.5772707000014634,0.8434566681893279,1.1094078801897687,1.2799132385419396,1.0940872016853267,1.390565842633426,2.173774491500814,338.36213280000084,,,338.87892889999966,340.26340490000075,341.91356389999964,343.7293970999999,345.36369899999954,347.29717979999987
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,12,,,ABB,rectangle,triangle,circle,triangle,"rectangle,triangle,triangle","circle,triangle",triangle,"rectangle,circle,star,triangle",triangle,4,4,triangle,1,0.4806014999994659,1.0552048983886193,0.880667902496193,1.4852108802445212,0.7972131330470752,0.8562697869548599,5.970924058010817,350.09676899999977,,,350.6132589000008,352.19905560000007,353.6129720000008,355.63010700000086,356.96347290000085,358.36357940000016
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,13,,,ABA,rectangle,star,rectangle,circle,"rectangle,star,rectangle","rectangle,circle",rectangle,"circle,rectangle,triangle,star",rectangle,2,2,rectangle,1,0.6713968999993085,0.995391225747448,1.0070286870711975,1.162110266653283,0.9788606722456832,1.3729372612704929,2.0736705290278388,364.8464304000008,,,365.36350400000083,366.89676379999946,368.44646140000077,370.14727239999957,371.66380430000027,373.58078990000104
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,14,,,ABB,star,triangle,circle,triangle,"star,triangle,triangle","circle,triangle",triangle,"star,triangle,circle,rectangle",triangle,2,2,triangle,1,0.7251130000004196,1.043075699386859,0.8228315629550961,0.9263560225511455,0.9887478897035762,0.99836629811785,2.498703303927865,376.3632526000001,,,376.8800334999996,378.4634470000001,379.83011590000024,381.29663419999997,382.82977519999986,384.3626505000011
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,15,,,ABA,triangle,circle,circle,rectangle,"triangle,circle,triangle","circle,rectangle",circle,"circle,rectangle,star,triangle",circle,1,1,circle,1,0.5585139999984676,1.1224226481749329,0.8803259100659043,0.8027642582406063,0.7584005252623252,1.135681530084916,2.5707451837291826,387.61321900000075,,,388.1300879999999,389.79629150000073,391.2131079999999,392.5461522000005,393.84643230000074,395.51411030000054
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,16,,,ABB,triangle,rectangle,circle,rectangle,"triangle,rectangle,rectangle","circle,rectangle",rectangle,"circle,star,triangle,rectangle",rectangle,4,4,rectangle,1,0.5460901000005833,0.9814692276059778,1.113721153085632,0.8879501728979835,0.7408421764490115,0.9505311175069856,5.3553724167327,398.66262710000046,,,399.1800284000001,400.6961298999995,402.347404600001,403.76357910000115,405.0457843000004,406.53018429999975
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,17,,,ABB,circle,triangle,triangle,circle,"circle,triangle,triangle","triangle,circle",circle,"triangle,star,circle,rectangle",circle,3,3,circle,1,0.5298616999989463,0.7516724309664833,0.9489391453933763,1.1022684529859716,1.0209958113607236,1.4166377957875471,3.20518220768641,412.46322540000074,,,412.9798926000003,414.2625310000003,415.74665240000104,417.38047540000116,418.9303583000001,420.8803065000011
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,18,,,ABA,rectangle,circle,rectangle,triangle,"rectangle,circle,rectangle","rectangle,triangle",rectangle,"star,triangle,rectangle,circle",rectangle,3,3,rectangle,1,0.49167989999841666,0.9840050317663452,1.018855913277843,0.789829052919059,0.8732077042527882,0.731806266156611,3.085989002956014,424.66361809999944,,,425.1792280999998,426.6968003000002,428.24615509999967,429.5800841,430.996163400001,432.2634353000012
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,19,,,ABA,circle,rectangle,rectangle,circle,"circle,rectangle,circle","rectangle,circle",rectangle,"triangle,circle,star,rectangle",rectangle,4,4,rectangle,1,0.5414607000002434,1.158877141753281,0.955922784063133,0.8952601935300476,1.3045877999250837,0.8887940393009119,2.1258954763641844,435.8603536999999,,,436.3798817000006,438.08026249999966,439.5788547000011,441.0132778999996,442.84650169999986,444.28020930000093
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,20,,,ABB,rectangle,triangle,triangle,circle,"rectangle,triangle,triangle","triangle,circle",circle,"triangle,circle,rectangle,star",circle,1,1,triangle,0,0.5318445000011707,0.8675513884692976,1.1618838356315215,0.9882245290454864,0.820384076965764,1.2355027459618435,1.862212806638936,446.9809881000001,,,447.49710869999944,448.8962635000007,450.5969270000005,452.1138444999997,453.46358839999994,455.2462630000009
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,21,,,ABB,triangle,star,rectangle,circle,"triangle,star,star","rectangle,circle",circle,"triangle,star,rectangle,circle",circle,4,4,circle,1,0.46393320000061067,0.9429531551577871,0.8646568457194868,1.0302082100909968,0.8768388998772275,0.6559156570489362,3.504118503030762,457.6807944000011,,,458.1968667000001,459.6810806000012,461.080219200001,462.6467412000002,464.0636570000006,465.2641672000009
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,22,,,ABB,star,triangle,rectangle,triangle,"star,triangle,triangle","rectangle,triangle",triangle,"triangle,star,rectangle,circle",triangle,1,1,triangle,1,0.47463860000061686,0.8021997596096259,0.7007203011400889,0.9346420178641779,1.1888110426748784,1.237314065255302,2.937311422730445,469.2633504000005,,,469.7806027000006,471.11358610000025,472.34696579999945,473.82967889999964,475.5637301000006,477.3470300000008
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,23,,,ABA,circle,rectangle,star,rectangle,"circle,rectangle,circle","star,rectangle",star,"star,triangle,rectangle,circle",star,1,1,star,1,0.5539195999990625,1.0786041703257638,1.1929191037926845,0.7063965332284137,1.2095576590293726,1.2460079116919607,2.301577626541074,480.77999380000074,,,481.2940901000002,482.91568259999985,484.6450493000011,485.8809885999999,487.62945200000104,489.4138449000002
main_run1,7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,24,,,ABB,star,rectangle,star,circle,"star,rectangle,rectangle","star,circle",circle,"triangle,circle,star,rectangle",circle,2,2,circle,1,0.7871350000004895,1.1272988085390387,0.7903717125117046,1.2406853132399975,1.0036324142865511,1.2747190977487246,4.0409746672246385,492.29702709999947,,,492.81207429999995,494.48001359999944,495.81305819999943,497.5971518000006,499.13021300000037,500.9467117000004
