block,sid,trial,sample_stim,isi_condition,rule_type,A_stim,B_stim,A_prime,B_prime,rule_sequence,test_sequence,correct_next_stim,slot_mapping,correct_stim,response_key,response_slot,response_stim,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_sample,t_delay,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_response
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,0,rectangle,2.5,,,,,,,,,"rectangle,circle,star,triangle",rectangle,1,1,rectangle,1,0.4305529583361931,,,,,,,133.36534687498352,133.89752724999562,134.40548554164707,,,,,,136.92808095834334
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,1,rectangle,1.0,,,,,,,,,"star,circle,rectangle,triangle",rectangle,2,2,circle,0,0.4861587083141785,,,,,,,137.362091374991,137.86900108333793,138.37924558331724,,,,,,139.39538999999058
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,2,circle,1.0,,,,,,,,,"triangle,rectangle,star,circle",circle,4,4,circle,1,0.47487350000301376,,,,,,,139.88430941663682,140.39201349997893,140.9019734999747,,,,,,141.9158027083322
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,3,circle,1.0,,,,,,,,,"triangle,star,rectangle,circle",circle,4,4,circle,1,0.46475508334697224,,,,,,,142.3931357083202,142.89995766663924,143.40669762497419,,,,,,144.4238077083428
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,4,star,2.5,,,,,,,,,"circle,star,triangle,rectangle",star,2,2,star,1,0.5138647083658725,,,,,,,144.89073424998787,145.40010491665453,145.91000249999342,,,,,,148.42317312498926
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,5,triangle,2.5,,,,,,,,,"star,rectangle,circle,triangle",triangle,4,4,triangle,1,0.5268940000096336,,,,,,,148.93957891664468,149.44450333333225,149.95264383332687,,,,,,152.46973641664954
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,6,triangle,2.5,,,,,,,,,"triangle,rectangle,star,circle",triangle,1,1,triangle,1,0.4656782500096597,,,,,,,152.99970770833897,153.50986866664607,154.015011041658,,,,,,156.5251044583274
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,7,circle,2.5,,,,,,,,,"star,circle,rectangle,triangle",circle,2,2,circle,1,0.45352529163938016,,,,,,,156.99296333332313,157.49774012499256,158.0024829999893,,,,,,160.51732808334054
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,8,triangle,1.0,,,,,,,,,"rectangle,star,circle,triangle",triangle,4,4,triangle,1,0.4799302083265502,,,,,,,160.97357191663468,161.48337091665599,161.9877298749925,,,,,,163.00174675000017
WM,e3f4c2c2-e078-42a1-970c-cc7833d2a7b2,9,star,1.0,,,,,,,,,"circle,triangle,star,rectangle",star,3,3,star,1,0.594773291668389,,,,,,,163.48437099999865,163.99065812499612,164.50043562499923,,,,,,165.51214629164315
