block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run1,001,0,ABB,triangle,circle,"triangle,circle,circle",ABA,star,rectangle,"star,rectangle,star",0,rule_order,2,1,1.7048371049995694,0.7283540837127249,0.5,1.5,0.9677816572241037,0.6427908344559643,2.0,21.28360730037093,21.787255899980664,23.02530400035903,24.037267900072038,26.0489465999417,27.52612780034542,28.67685730010271,29.181685300078243
run1,001,1,ABB,star,rectangle,"star,rectangle,rectangle",ABB,circle,rectangle,"circle,rectangle,rectangle",1,,1,1,0.5411012699996718,1.2792660040279442,0.9453801759779962,1.5,1.0577093246502487,1.1773020078210379,2.0,35.90596480015665,36.4099749000743,38.20474410010502,39.66054560011253,41.67581870034337,43.24676020024344,44.93597160000354,45.44023340009153
run1,001,2,ABA,triangle,star,"triangle,star,triangle",ABA,star,rectangle,"star,rectangle,star",1,,1,1,0.5974299449999307,1.0734777190880762,0.96583730848373,1.5,0.8094053915547876,0.8967491749780196,2.0,51.001525700092316,51.505512500181794,53.09047650033608,54.5656614000909,56.57628579996526,57.896962500177324,59.30445360019803,59.8087728000246
run1,001,3,ABB,star,circle,"star,circle,circle",ABB,rectangle,star,"rectangle,star,star",1,,1,1,1.4008216700003686,1.009591437144657,1.0424565453075738,1.5,1.1360620687420628,1.0083093552385787,2.0,65.42671910021454,65.93076860019937,67.45245050033554,69.00619490025565,71.02757030026987,72.6732784002088,74.18932980019599,74.69377649994567
run1,001,4,ABA,triangle,star,"triangle,star,triangle",ABA,circle,triangle,"circle,triangle,circle",1,,1,1,0.7290721549998125,0.8259184509495727,0.9980581425139566,1.5,1.045572970373943,1.3445701923075044,2.0,81.11627870006487,81.61978150019422,82.95548440003768,84.4691296000965,86.48026200011373,88.03681399999186,89.89750740025192,90.40252250013873
run1,001,5,ABA,rectangle,triangle,"rectangle,triangle,rectangle",ABA,rectangle,circle,"rectangle,circle,rectangle",1,,1,1,0.9655412849997447,0.8989872232339303,0.7368258509962025,1.5,0.9180267467631605,0.9110834643263891,2.0,96.153669600375,96.65792730031535,98.06890350021422,99.31693420000374,101.33464490016922,102.76588430022821,104.18714640010148,104.69089379999787
run1,001,6,ABA,circle,star,"circle,star,circle",ABB,circle,rectangle,"circle,rectangle,rectangle",0,rule_order,2,1,0.5504588249996232,1.1594543062898985,0.77338765414853,1.5,0.8991339484325702,1.126755351447426,2.0,110.67282490013167,111.17648850008845,112.84554520016536,114.12423210032284,116.12882040021941,117.5378799000755,119.17477430030704,119.68334790039808
run1,001,7,ABA,star,triangle,"star,triangle,star",other,circle,rectangle,"circle,rectangle,triangle",0,random,2,1,0.7406697599999461,0.870555609625434,0.5659386248345627,1.5,0.6902703070891333,0.964088204964411,2.0,125.24666170030832,125.75062469998375,127.13860600022599,128.22203500010073,130.23083470016718,131.43278150027618,132.9030468002893,133.4121117000468
run1,001,8,ABA,rectangle,triangle,"rectangle,triangle,rectangle",ABA,circle,triangle,"circle,triangle,circle",1,,2,0,0.642990500000451,1.1183058594255586,0.999915955782541,1.5,1.296959350338081,0.8791591387831484,2.0,139.16608070023358,139.6741977003403,141.30427870014682,142.81607680022717,144.83037480013445,146.63899980019778,148.02775740018114,148.53249120013788
run1,001,9,ABB,rectangle,star,"rectangle,star,star",other,triangle,rectangle,"triangle,rectangle,star",0,random,2,1,0.5055943649995243,1.4133679466909645,1.0110627038897353,1.5,1.2682983611666498,0.863592769071686,2.0,154.19489870034158,154.69888149993494,156.62131720036268,158.14155020006,160.15796600002795,161.93694879999384,163.3114678002894,163.81543980026618
